pl_discmethod,pl_disc,pl_locale,st_dist,st_optmag,st_teff,st_mass,st_rad,st_logg,st_metfe,st_vsini,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmasse
RadialVelocity,2007,Ground,110.62,4.74,4742,2.7,19,2.31,-0.35,1.2,326.03,1.29,0.231,6165.6
RadialVelocity,2009,Ground,119.47,5.016,4213,2.78,29.79,1.93,-0.02,1.5,516.21997,1.53,0.08,4684.8142
RadialVelocity,2008,Ground,76.39,5.227,4813,2.2,11,2.63,-0.24,2.6,185.84,0.83,0,1525.5
RadialVelocity,2002,Ground,18.15,6.61,5338,0.9,0.93,4.45,0.41,1.6,1773.40002,2.93,0.37,1481.0878
RadialVelocity,1996,Ground,21.41,6.25,5750,1.08,1.13,4.36,0.06,2.18,798.5,1.66,0.68,565.7374
RadialVelocity,2008,Ground,73.1,5.506,4979,2.3,8.5,2.82,-0.052,,993.3,2.6,0.08,3273.5
Imaging,2008,Ground,145,,4060,0.85,,,,,,330,,3000
RadialVelocity,2018,Ground,97.75,5.58,4893,0.99,10.64,2.42,-0.77,3.36,30.3506,0.19,0.042,289.2253
RadialVelocity,2010,Ground,74.79,6.441,5098,1.54,4.9,3.5,-0.03,2.77,452.8,1.333,0.09,632.46
RadialVelocity,2010,Ground,74.79,6.441,5098,1.54,4.9,3.5,-0.03,2.77,883,2.08,0.29,273.32
Imaging,2013,Ground,36,14.24,3530,0.4,,,,,,52,,7786.5
Imaging,2015,Ground,39.4,,3064,0.11,0.28,4.59,,6.5,,156,,4417.837
Imaging,2010,Space,140,,,0.02,,,,,,15,,2383.6
Imaging,2004,Ground,52.4,20.15,,0.02,,,,,,46,,1271
EclipseTimingVariations,2015,Space,,12.264,,0.48,,,,,416,0.92,,603.877
Imaging,2009,Ground,25,,2300,0.08,0.12,,,,7336.5,,0.26,6657.48
Imaging,2016,Ground,74,12.51,4045,0.6,,,,,,230,,3972.875
RadialVelocity,2009,Ground,39.43,6.962,6331,1.93,1.41,4.43,0.19,38.3,335.10001,0.99,0.29,4392.4106
RadialVelocity,2006,Ground,77.4,4.61,4415,1.23,18.11,1.8,-0.25,,269.3,0.87,0.432,2256.5
RadialVelocity,2008,Ground,97.28,4.82,4200,0.98,22.03,1.71,-0.46,1,479.1,1.19,0.38,1233.13
RadialVelocity,1996,Ground,14.08,5.05,5892,1.03,1.23,4.27,0,2.9,1078,2.1,0.032,804.08
RadialVelocity,2001,Ground,14.08,5.05,5892,1.03,1.23,4.27,0,2.9,2391,3.6,0.098,171.621
RadialVelocity,2009,Ground,14.08,5.05,5892,1.03,1.23,4.27,0,2.9,14002,11.6,0.16,521.22
Imaging,2015,Ground,29.4,5.23,,1.75,,,-0.027,71.8,,13.2,,635.66
RadialVelocity,1995,Ground,15.36,5.5,5793,1.12,1.2,4.33,0.2,2,4.230785,0.0527,0.013,150.009
RadialVelocity,1996,Ground,12.53,5.96,5196,0.91,0.94,4.45,0.31,2.5,14.65152,0.115227,0.0034,263.9785
RadialVelocity,2004,Ground,12.53,5.96,5196,0.91,0.94,4.45,0.31,2.5,44.4175,0.241376,0.02,54.4738
RadialVelocity,2002,Ground,12.53,5.96,5196,0.91,0.94,4.45,0.31,2.5,4825,5.503,0.019,1232.493
RadialVelocity,2004,Ground,12.53,5.96,5196,0.91,0.94,4.45,0.31,2.5,0.736539,0.01544,,8.08
RadialVelocity,2007,Ground,12.53,5.96,5196,0.91,0.94,4.45,0.31,2.5,262,0.788,0.305,44.812
RadialVelocity,2008,Ground,56.95,5.855,4978,1.7,5.2,3.16,-0.13,1.32,874.774,2.18,0.125,702.4043
RadialVelocity,2009,Ground,8.52,4.74,5577,0.94,0.96,4.34,-0.01,1.9,4.215,0.050201,0.12,5.1
