pl_discmethod,pl_pnum,pl_orbper,pl_orbsmaxlim,pl_orbeccen,pl_bmassj,pl_radj,ra,dec,st_dist,st_optmag,st_teff,st_mass,st_rad,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag,pl_angsep,pl_rvamp,pl_massj,pl_masse,pl_rade,pl_rads,pl_ratdor,pl_ratror,pl_disc,pl_locale,st_glon,st_glat,st_elon,st_elat,st_plx,st_pmra,st_pmdec,st_pm,st_radv,st_sp,st_logg,st_lum,st_age,st_vsini,st_colorn
Radial Velocity,1,326.03,0,0.231,19.4,,185.179276,17.792868,110.62,4.74,4742,2.7,19,0,1,0,0,0,0,1.17E+01,302.8,,,,,,,2007,Ground,264.140892,78.280522,177.422388,18.333765,9.04,-108.8,90.5,141.5,,5,2.31,2.243,,1.2,7
Radial Velocity,1,516.21997,0,0.08,14.74,,229.274536,71.823898,119.47,5.016,4213,2.78,29.79,0,1,0,0,0,0,1.28E+01,189.7,14.74,4684.8142,,,,,2009,Ground,108.718982,41.044516,141.647144,74.958184,8.37,6.1,8.3,10.3,,5.4,1.93,,,1.5,5
Radial Velocity,1,185.84,0,0,4.8,,352.822571,39.236198,76.39,5.227,4813,2.2,11,0,1,0,0,0,0,1.09E+01,100,,,,,,,2008,Ground,106.411558,-21.05061,11.962116,38.229937,13.09,287.7,-83.6,299.6,,4.8,2.63,1.763,,2.6,7
Radial Velocity,1,1773.40002,0,0.37,4.66,,242.601303,43.817646,18.15,6.61,5338,0.9,0.93,0,1,0,0,0,0,1.61E+02,90,4.66,1481.0878,,,,,2002,Ground,69.170376,46.944999,223.248728,62.879798,55.11,132.6,-297,325.3,,5,4.45,,,1.6,9
Radial Velocity,1,798.5,0,0.68,1.78,,295.466553,50.517525,21.41,6.25,5750,1.08,1.13,0,1,0,0,0,0,7.75E+01,50.5,1.78,565.7374,,,,,1996,Ground,83.33646,13.204352,321.21805,69.468372,,-132,-163,209.7,-28.1,4.25,4.36,,,2.18,17
Radial Velocity,1,993.3,0,0.08,10.3,,314.608063,10.839286,73.1,5.506,4979,2.3,8.5,0,1,0,0,0,0,3.56E+01,119.4,,,,,,,2008,Ground,58.691434,-21.974824,320.591213,26.786858,13.68,-49.5,-35.1,60.7,,4.6,2.82,1.602,,,5
Imaging,1,,0,,8,,242.376268,-21.083036,145,,4060,0.85,,0,0,1,0,0,0,2.28E+03,,8,3000,,,,,2008,Ground,352.89056,22.030427,244.365684,-0.06841,,,,,,5.7,,-0.37,0.005,,3
Radial Velocity,1,30.3506,0,0.042,0.91,,217.157547,49.844852,97.75,5.58,4893,0.99,10.64,0,1,0,0,0,0,1.94E+00,59.9,,,,,,,2018,Ground,90.162223,60.643666,185.925162,58.888907,10.23,-304,-46.9,307.6,,4.3,2.42,1.774,6.92,3.36,6
Radial Velocity,2,452.8,0,0.09,1.99,,155.86821,-0.902244,74.79,6.441,5098,1.54,4.9,0,1,0,0,0,0,1.78E+01,40,,,,,,,2010,Ground,245.085309,44.715734,157.99359,-10.198148,13.37,65.7,-35.1,74.5,,5,3.5,1.164,2.7,2.77,8
Radial Velocity,2,883,0,0.29,0.86,,155.86821,-0.902244,74.79,6.441,5098,1.54,4.9,0,1,0,0,0,0,2.78E+01,14.5,,,,,,,2010,Ground,245.085309,44.715734,157.99359,-10.198148,13.37,65.7,-35.1,74.5,,5,3.5,1.164,2.7,2.77,8
Imaging,1,,0,,24.5,,20.712243,-24.664049,36,14.24,3530,0.4,,0,0,1,0,0,0,1.44E+03,,24.5,7786.5,,,,,2013,Ground,195.448768,-82.520165,8.622413,-30.711243,,,,,9.6,6.35,,-1.72,0.12,,3
Imaging,1,,0,,13.9,1.44,34.842106,-39.422928,39.4,,3064,0.11,0.28,0,0,1,0,0,0,3.96E+03,,13.9,4417.837,16.141,0.148,,,2015,Ground,252.453768,-67.984453,13.508497,-49.30478,,,,,10.6,6.6,4.59,-2.23,0.035,6.5,0
