pl_discmethod,pl_disc,pl_locale,ra,dec,st_glon,st_glat,st_elon,st_elat,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,st_sp,st_spstr,st_logg,st_lum,st_metfe,st_metratio,st_vsini,pl_hostname,pl_letter,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmasse,pl_bmassprov,pl_rade,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag
Radial Velocity,2007,Ground,185.179276,17.792868,264.140892,78.280522,177.422388,18.333765,110.62,4.74,V (Johnson),4742,2.7,19,5,K0 III,2.31,2.243,-0.35,[Fe/H],1.2,11 Com,b,1,326.03,1.29,0.231,6165.6,Msini,,0,1,0,0,0,0
Radial Velocity,2009,Ground,229.274536,71.823898,108.718982,41.044516,141.647144,74.958184,119.47,5.016,V (Johnson),4213,2.78,29.79,5.4,K4 III,1.93,,-0.02,[Fe/H],1.5,11 UMi,b,1,516.21997,1.53,0.08,4684.8142,Mass,,0,1,0,0,0,0
Radial Velocity,2008,Ground,352.822571,39.236198,106.411558,-21.05061,11.962116,38.229937,76.39,5.227,V (Johnson),4813,2.2,11,4.8,G8 III,2.63,1.763,-0.24,[Fe/H],2.6,14 And,b,1,185.84,0.83,0,1525.5,Msini,,0,1,0,0,0,0
Radial Velocity,2002,Ground,242.601303,43.817646,69.170376,46.944999,223.248728,62.879798,18.15,6.61,V (Johnson),5338,0.9,0.93,5,K0 V,4.45,,0.41,[Fe/H],1.6,14 Her,b,1,1773.40002,2.93,0.37,1481.0878,Mass,,0,1,0,0,0,0
Radial Velocity,1996,Ground,295.466553,50.517525,83.33646,13.204352,321.21805,69.468372,21.41,6.25,V (Johnson),5750,1.08,1.13,4.25,G2.5 V,4.36,,0.06,[Fe/H],2.18,16 Cyg B,b,1,798.5,1.66,0.68,565.7374,Mass,,0,1,0,0,0,0
Radial Velocity,2008,Ground,314.608063,10.839286,58.691434,-21.974824,320.591213,26.786858,73.1,5.506,V (Johnson),4979,2.3,8.5,4.6,G6 III,2.82,1.602,-0.052,[Fe/H],,18 Del,b,1,993.3,2.6,0.08,3273.5,Msini,,0,1,0,0,0,0
Imaging,2008,Ground,242.376268,-21.083036,352.89056,22.030427,244.365684,-0.06841,145,,,4060,0.85,,5.7,K7 V,,-0.37,,,,1RXS J160929.1-210524,b,1,,330,,3000,Mass,,0,0,1,0,0,0
Radial Velocity,2018,Ground,217.157547,49.844852,90.162223,60.643666,185.925162,58.888907,97.75,5.58,V (Johnson),4893,0.99,10.64,4.3,G3 IV,2.42,1.774,-0.77,[Fe/H],3.36,24 Boo,b,1,30.3506,0.19,0.042,289.2253,Msini,,0,1,0,0,0,0
Radial Velocity,2010,Ground,155.86821,-0.902244,245.085309,44.715734,157.99359,-10.198148,74.79,6.441,V (Johnson),5098,1.54,4.9,5,K0 IV,3.5,1.164,-0.03,[Fe/H],2.77,24 Sex,b,2,452.8,1.333,0.09,632.46,Msini,,0,1,0,0,0,0
Radial Velocity,2010,Ground,155.86821,-0.902244,245.085309,44.715734,157.99359,-10.198148,74.79,6.441,V (Johnson),5098,1.54,4.9,5,K0 IV,3.5,1.164,-0.03,[Fe/H],2.77,24 Sex,c,2,883,2.08,0.29,273.32,Msini,,0,1,0,0,0,0
